team1_home,team2_home,team1_batted_first,team2_batted_first,team1_won_toss,winner,count,win_percentage
0,0,0,1,0,Africa XI,1,0.005714285714285714
0,0,0,1,0,Australia,22,0.12571428571428572
0,0,0,1,0,Bangladesh,3,0.017142857142857144
0,0,0,1,0,England,5,0.02857142857142857
0,0,0,1,0,India,33,0.18857142857142858
0,0,0,1,0,Kenya,1,0.005714285714285714
0,0,0,1,0,Match tied,2,0.011428571428571429
0,0,0,1,0,New Zealand,19,0.10857142857142857
0,0,0,1,0,Pakistan,26,0.14857142857142858
0,0,0,1,0,South Africa,17,0.09714285714285714
0,0,0,1,0,Sri Lanka,23,0.13142857142857142
0,0,0,1,0,U.A.E.,1,0.005714285714285714
0,0,0,1,0,West Indies,13,0.07428571428571429
0,0,0,1,0,Zimbabwe,9,0.05142857142857143
0,0,1,0,1,Asia XI,1,0.0037313432835820895
0,0,1,0,1,Australia,24,0.08955223880597014
0,0,1,0,1,Bangladesh,2,0.007462686567164179
0,0,1,0,1,Canada,1,0.0037313432835820895
0,0,1,0,1,England,15,0.055970149253731345
0,0,1,0,1,ICC World XI,1,0.0037313432835820895
0,0,1,0,1,India,36,0.13432835820895522
0,0,1,0,1,Kenya,5,0.018656716417910446
0,0,1,0,1,Match tied,3,0.011194029850746268
0,0,1,0,1,Netherlands,1,0.0037313432835820895
0,0,1,0,1,New Zealand,14,0.05223880597014925
0,0,1,0,1,No result,1,0.0037313432835820895
0,0,1,0,1,Pakistan,62,0.23134328358208955
0,0,1,0,1,South Africa,37,0.13805970149253732
0,0,1,0,1,Sri Lanka,28,0.1044776119402985
0,0,1,0,1,West Indies,24,0.08955223880597014
0,0,1,0,1,Zimbabwe,13,0.048507462686567165
0,1,0,1,0,Australia,18,0.1016949152542373
0,1,0,1,0,Bangladesh,1,0.005649717514124294
0,1,0,1,0,England,23,0.12994350282485875
0,1,0,1,0,India,21,0.11864406779661017
0,1,0,1,0,Match tied,2,0.011299435028248588
0,1,0,1,0,New Zealand,20,0.11299435028248588
0,1,0,1,0,Pakistan,17,0.096045197740113
0,1,0,1,0,South Africa,30,0.1694915254237288
0,1,0,1,0,Sri Lanka,23,0.12994350282485875
0,1,0,1,0,West Indies,17,0.096045197740113
0,1,0,1,0,Zimbabwe,5,0.02824858757062147
0,1,1,0,1,Australia,47,0.19583333333333333
0,1,1,0,1,Bangladesh,1,0.004166666666666667
0,1,1,0,1,England,18,0.075
0,1,1,0,1,India,25,0.10416666666666667
0,1,1,0,1,Kenya,3,0.0125
0,1,1,0,1,Match tied,1,0.004166666666666667
0,1,1,0,1,Match tied (D/L method),1,0.004166666666666667
0,1,1,0,1,New Zealand,22,0.09166666666666666
0,1,1,0,1,Pakistan,29,0.12083333333333333
0,1,1,0,1,South Africa,34,0.14166666666666666
0,1,1,0,1,Sri Lanka,28,0.11666666666666667
0,1,1,0,1,West Indies,18,0.075
0,1,1,0,1,Zimbabwe,13,0.05416666666666667
1,0,0,1,0,Australia,18,0.11842105263157894
1,0,0,1,0,England,10,0.06578947368421052
1,0,0,1,0,India,20,0.13157894736842105
1,0,0,1,0,Kenya,2,0.013157894736842105
1,0,0,1,0,New Zealand,15,0.09868421052631579
1,0,0,1,0,Pakistan,10,0.06578947368421052
1,0,0,1,0,Pakistan awarded the match (opposition conceded),1,0.006578947368421052
1,0,0,1,0,South Africa,22,0.14473684210526316
1,0,0,1,0,Sri Lanka,28,0.18421052631578946
1,0,0,1,0,West Indies,11,0.07236842105263158
1,0,0,1,0,Zimbabwe,15,0.09868421052631579
1,0,1,0,1,Australia,51,0.22666666666666666
1,0,1,0,1,Bangladesh,3,0.013333333333333334
1,0,1,0,1,England,17,0.07555555555555556
1,0,1,0,1,India,25,0.1111111111111111
1,0,1,0,1,Kenya,1,0.0044444444444444444
1,0,1,0,1,Match tied,3,0.013333333333333334
1,0,1,0,1,New Zealand,11,0.04888888888888889
1,0,1,0,1,No result,1,0.0044444444444444444
1,0,1,0,1,Pakistan,30,0.13333333333333333
1,0,1,0,1,South Africa,37,0.16444444444444445
1,0,1,0,1,Sri Lanka,24,0.10666666666666667
1,0,1,0,1,West Indies,12,0.05333333333333334
1,0,1,0,1,Zimbabwe,10,0.044444444444444446
